Sample Sequence,Group
10ppb_1,Cal
100ppb_1,Cal
250ppb_1,Cal
500ppb_1,Cal
1000ppb_1,Cal
MB1,MFB
Pooled_1,Pool
MB2,MFB
D1S1_1,FSE
D1S2_1,FSE
D1S3_1,FSE
D1S4_1,FSE
D2S1_1,FSE
D2S2_1,FSE
D2S3_1,FSE
D2S4_1,FSE
D3S1_1,FSE
D3S2_1,FSE
D3S3_1,FSE
D3S4_1,FSE
250ppb_2,Cal
Pooled_2,Pool
MB3,MFB
D1S4_2,FSE
D1S3_2,FSE
D1S2_2,FSE
D1S1_2,FSE
D2S4_2,FSE
D2S3_2,FSE
D2S2_2,FSE
D2S1_2,FSE
D3S4_2,FSE
D3S3_2,FSE
D3S2_2,FSE
D3S1_2,FSE
250ppb_3,Cal
Pooled_3,Pool
MB4,MFB
D1S1_3,FSE
D1S3_3,FSE
D1S2_3,FSE
D1S4_3,FSE
D2S1_3,FSE
D2S3_3,FSE
D2S2_3,FSE
D2S4_3,FSE
D3S1_3,FSE
D3S3_3,FSE
D3S2_3,FSE
D3S4_3,FSE
MB5,MFB
Pooled_4,Pool
250ppb_4,Cal
10ppb_2,Cal
100ppb_2,Cal
500ppb_2,Cal
1000ppb_2,Cal
